Equipo,avg_xG_season,avg_xGA_season,avg_xpts_season
Barcelona,73.65,35.71,54.85
Real Madrid,60.81,30.54,53.73
Villarreal,45.4,33.99,42.74
Atletico Madrid,44.32,29.55,43.9
Real Betis,42.93,33.65,40.7
Celta Vigo,36.7,34.16,37.54
Espanyol,37.89,40.13,32.19
Athletic Club,39.9,29.81,40.77
Osasuna,31.75,34.9,32.08
Real Sociedad,40.17,37.37,37.97
Girona,33.72,47.23,27.06
Sevilla,27.71,44.45,22.94
Getafe,21.0,30.15,28.07
Alaves,35.78,34.85,34.78
Rayo Vallecano,35.38,37.35,32.63
Valencia,33.69,38.3,33.23
Elche,30.68,50.0,25.24
Mallorca,28.8,45.4,23.71
Levante,34.72,48.66,25.41
Real Oviedo,24.91,43.7,21.24
